env_step,rew,rew_std,Agent
7188480,363.0968,106.2384,REINFORCE
7219200,364.1249,132.2329,REINFORCE
7249920,386.8129,106.5349,REINFORCE
7280640,361.4476,92.2265,REINFORCE
7311360,367.8644,76.1768,REINFORCE
7342080,372.2277,61.5203,REINFORCE
7372800,383.5695,65.289,REINFORCE
7403520,376.8635,111.4057,REINFORCE
7434240,364.5879,100.5854,REINFORCE
7464960,368.2759,99.9324,REINFORCE
7495680,381.457,92.2431,REINFORCE
7526400,351.8763,132.2134,REINFORCE
7557120,383.2411,74.2994,REINFORCE
7587840,350.1911,92.5451,REINFORCE
7618560,363.1767,88.2368,REINFORCE
7649280,382.3549,132.6238,REINFORCE
7680000,359.9137,101.0479,REINFORCE
7710720,367.2583,101.4204,REINFORCE
7741440,343.4797,113.3278,REINFORCE
7772160,357.4038,120.2726,REINFORCE
7802880,371.3363,68.6317,REINFORCE
7833600,380.6468,62.7897,REINFORCE
7864320,364.0078,102.1884,REINFORCE
7895040,390.4208,64.8,REINFORCE
7925760,367.6176,57.5819,REINFORCE
7956480,374.8038,75.8725,REINFORCE
7987200,372.3415,75.1058,REINFORCE
8017920,364.4274,126.2467,REINFORCE
8048640,333.2996,100.0399,REINFORCE
8079360,347.481,100.2056,REINFORCE
8110080,370.4996,95.8974,REINFORCE
8140800,374.8886,118.6889,REINFORCE
8171520,379.4134,118.8234,REINFORCE
8202240,383.0012,64.9941,REINFORCE
8232960,375.0866,89.8378,REINFORCE
8263680,375.1638,101.1116,REINFORCE
8294400,385.6165,69.0373,REINFORCE
8325120,375.2498,104.7292,REINFORCE
8355840,402.2431,79.0858,REINFORCE
8386560,382.6706,91.6997,REINFORCE
8417280,372.3715,82.5468,REINFORCE
8448000,401.3655,98.7974,REINFORCE
8478720,385.1743,58.1178,REINFORCE
8509440,375.3559,104.8732,REINFORCE
8540160,349.357,93.2866,REINFORCE
8570880,376.5432,69.9092,REINFORCE
8601600,382.909,65.2545,REINFORCE
8632320,377.8138,87.565,REINFORCE
8663040,383.207,80.1754,REINFORCE
8693760,371.4133,89.9161,REINFORCE
8724480,376.919,69.2769,REINFORCE
8755200,379.47,76.5879,REINFORCE
8785920,366.7001,104.0949,REINFORCE
8816640,382.4882,62.5922,REINFORCE
8847360,372.0743,79.0617,REINFORCE
8878080,357.0979,101.0783,REINFORCE
8908800,402.782,73.662,REINFORCE
8939520,383.05,95.7289,REINFORCE
8970240,398.7126,49.3771,REINFORCE
9000960,342.6036,102.5794,REINFORCE
9031680,393.9359,55.8315,REINFORCE
9062400,358.2121,98.775,REINFORCE
9093120,396.7736,47.5404,REINFORCE
9123840,390.0685,64.218,REINFORCE
9154560,367.538,85.9344,REINFORCE
9185280,367.0394,96.7543,REINFORCE
9216000,365.089,97.8226,REINFORCE
9246720,394.2243,83.5708,REINFORCE
9277440,374.55,118.3468,REINFORCE
9308160,349.5582,95.0112,REINFORCE
9338880,370.6759,67.2228,REINFORCE
9369600,386.7887,83.2882,REINFORCE
9400320,374.7842,83.7501,REINFORCE
9431040,382.3645,79.8977,REINFORCE
9461760,359.2723,106.1609,REINFORCE
9492480,411.7006,32.7818,REINFORCE
9523200,381.7046,82.238,REINFORCE
9553920,395.8383,52.7248,REINFORCE
9584640,382.9098,64.35,REINFORCE
9615360,374.4013,104.142,REINFORCE
9646080,380.0431,80.4186,REINFORCE
9676800,380.1886,81.4481,REINFORCE
9707520,363.2701,86.7719,REINFORCE
9738240,373.5595,72.1207,REINFORCE
9768960,384.6104,71.9801,REINFORCE
9799680,375.595,63.4577,REINFORCE
9830400,360.9498,73.2914,REINFORCE
9861120,378.3045,68.1014,REINFORCE
9891840,377.6049,65.1815,REINFORCE
9922560,377.4226,79.2419,REINFORCE
9953280,371.0989,69.7,REINFORCE
9984000,395.0888,64.5988,REINFORCE
10014720,380.6971,66.6752,REINFORCE
10045440,369.8089,82.7607,REINFORCE
10076160,359.9013,90.9538,REINFORCE
10106880,369.0725,62.3956,REINFORCE
10137600,392.5896,50.2816,REINFORCE
10168320,361.0641,109.9217,REINFORCE
10199040,352.6764,79.7465,REINFORCE
10229760,352.3748,82.8586,REINFORCE
0,6.442,12.7772,SAC
5000,384.2125,91.1295,SAC
10000,311.4904,92.4643,SAC
15000,341.5975,61.666,SAC
20000,332.6649,99.9772,SAC
25000,381.5184,156.4263,SAC
30000,396.9952,101.5131,SAC
35000,428.0762,112.466,SAC
40000,538.719,425.0536,SAC
45000,613.2465,440.9208,SAC
50000,695.3813,413.9007,SAC
55000,867.3111,429.0798,SAC
60000,821.5923,626.4058,SAC
65000,724.8063,548.7352,SAC
70000,869.673,605.068,SAC
75000,887.8157,670.5667,SAC
80000,842.7084,595.3462,SAC
85000,934.1402,445.0447,SAC
90000,843.5223,707.1264,SAC
95000,1145.929,693.5426,SAC
100000,1305.246,795.0855,SAC
105000,982.3865,559.6456,SAC
110000,1438.316,897.6387,SAC
115000,1684.2845,980.9338,SAC
120000,1576.6348,973.7348,SAC
125000,1635.8776,1040.758,SAC
130000,1260.5658,771.0769,SAC
135000,1870.8694,948.5044,SAC
140000,1804.7263,1012.1946,SAC
145000,1733.9893,1143.5478,SAC
150000,1981.0082,1216.2987,SAC
155000,2061.6254,1290.993,SAC
160000,2199.765,1182.4863,SAC
165000,2295.9367,1338.0812,SAC
170000,2374.0511,1184.7679,SAC
175000,2230.0855,1255.8343,SAC
180000,2253.6271,1346.9405,SAC
