Date,Price,Open,High,Low,Vol,Change,Unit,vol2,Volume,Year,Source
"Sep 29, 2018",231.87,221.95,237.45,215.15,8.90M,4.55%,M,8.90,8900.00,2018,
"Sep 28, 2018",221.77,229.18,234.14,215.39,7.34M,-3.22%,M,7.34,7340.00,2018,
"Sep 27, 2018",229.15,214.46,232.6,211.31,7.37M,6.91%,M,7.37,7370.00,2018,
"Sep 26, 2018",214.35,219.14,222.41,208.91,6.37M,-2.14%,M,6.37,6370.00,2018,
"Sep 25, 2018",219.04,228.02,228.59,204.84,5.78M,-3.93%,M,5.78,5780.00,2018,
"Sep 24, 2018",228.01,244.67,246.87,225.73,4.54M,-6.81%,M,4.54,4540.00,2018,
"Sep 23, 2018",244.67,240.82,249.02,238.14,4.03M,1.60%,M,4.03,4030.00,2018,
"Sep 22, 2018",240.82,247.92,254.36,233.46,5.16M,-2.86%,M,5.16,5160.00,2018,
"Sep 21, 2018",247.92,224.43,250.74,222.05,6.76M,10.47%,M,6.76,6760.00,2018,
"Sep 20, 2018",224.42,209.74,225.48,207.78,4.47M,7.00%,M,4.47,4470.00,2018,
"Sep 19, 2018",209.74,209.02,214.91,199.19,5.68M,0.34%,M,5.68,5680.00,2018,
"Sep 18, 2018",209.03,196.17,213.93,195.24,5.32M,6.52%,M,5.32,5320.00,2018,
"Sep 17, 2018",196.24,220.2,224.48,192.87,7.49M,-10.88%,M,7.49,7490.00,2018,
"Sep 16, 2018",220.2,221.94,223.14,208.61,4.64M,-0.79%,M,4.64,4640.00,2018,
"Sep 15, 2018",221.94,209.88,259.37,209.06,5.53M,5.70%,M,5.53,5530.00,2018,
"Sep 14, 2018",209.98,210.98,224.6,203.16,7.71M,-0.48%,M,7.71,7710.00,2018,
"Sep 13, 2018",211,183.11,214.57,183.11,7.46M,15.31%,M,7.46,7460.00,2018,
"Sep 12, 2018",182.98,185.07,186.57,169.08,5.83M,-1.13%,M,5.83,5830.00,2018,
"Sep 11, 2018",185.07,197.05,200.42,177.29,5.15M,-6.08%,M,5.15,5150.00,2018,
"Sep 10, 2018",197.04,195.81,203.64,187.35,4.38M,0.63%,M,4.38,4380.00,2018,
"Sep 09, 2018",195.8,196.69,208.23,187.26,5.47M,-0.50%,M,5.47,5470.00,2018,
"Sep 08, 2018",196.79,215.51,220.85,191.16,4.47M,-8.72%,M,4.47,4470.00,2018,
"Sep 07, 2018",215.6,229.58,234.49,214.84,4.51M,-6.10%,M,4.51,4510.00,2018,
"Sep 06, 2018",229.6,228.76,232.66,212.9,5.81M,0.37%,M,5.81,5810.00,2018,
"Sep 05, 2018",228.77,285.17,288.01,227.76,6.21M,-19.78%,M,6.21,6210.00,2018,
"Sep 04, 2018",285.17,288.98,292.6,283.4,5.02M,-1.29%,M,5.02,5020.00,2018,
"Sep 03, 2018",288.92,295.05,296.76,285.95,5.35M,-2.08%,M,5.35,5350.00,2018,
"Sep 02, 2018",295.05,295.32,299.38,289.45,5.85M,-0.09%,M,5.85,5850.00,2018,
